,NAME,Year,Units in All Multi-Family Structures,Units in Multi-Family Structures,Units in Single-Family Structures
472,"Columbia city, Tennessee",2012,,0,57
473,"Columbia city, Tennessee",2013,,0,54
474,"Columbia city, Tennessee",2014,,0,77
475,"Columbia city, Tennessee",2015,,0,157
476,"Columbia city, Tennessee",2016,,28,287
477,"Columbia city, Tennessee",2017,,116,395
478,"Columbia city, Tennessee",2018,,24,460
479,"Columbia city, Tennessee",2019,,171,319
480,"Columbia city, Tennessee",2020,,6,630
481,"Columbia city, Tennessee",2021,,416,796
482,"Columbia city, Tennessee",2022,26,,847
483,"Columbia city, Tennessee",2023,0,,690
484,"Coopertown town, Tennessee",1980,,0,0
485,"Coopertown town, Tennessee",1981,,0,0
486,"Coopertown town, Tennessee",1982,,0,0
487,"Coopertown town, Tennessee",1983,,0,0
488,"Coopertown town, Tennessee",1984,,0,0
489,"Coopertown town, Tennessee",1985,,0,0
490,"Coopertown town, Tennessee",1986,,0,0
491,"Coopertown town, Tennessee",1987,,0,0
492,"Coopertown town, Tennessee",1988,,0,0
493,"Coopertown town, Tennessee",1989,,0,0
494,"Coopertown town, Tennessee",1990,,0,0
495,"Coopertown town, Tennessee",1991,,0,0
496,"Coopertown town, Tennessee",1992,,0,0
497,"Coopertown town, Tennessee",1993,,0,0
498,"Coopertown town, Tennessee",1994,,0,0
499,"Coopertown town, Tennessee",1995,,0,0
500,"Coopertown town, Tennessee",1996,,0,0
501,"Coopertown town, Tennessee",1997,,0,0
502,"Coopertown town, Tennessee",1998,,0,0
503,"Coopertown town, Tennessee",1999,,0,0
504,"Coopertown town, Tennessee",2000,,0,0
505,"Coopertown town, Tennessee",2001,,0,0
506,"Coopertown town, Tennessee",2002,,0,0
507,"Coopertown town, Tennessee",2003,,0,0
508,"Coopertown town, Tennessee",2004,,0,0
509,"Coopertown town, Tennessee",2005,,0,0
510,"Coopertown town, Tennessee",2006,,0,0
511,"Coopertown town, Tennessee",2007,,0,0
512,"Coopertown town, Tennessee",2008,,0,0
513,"Coopertown town, Tennessee",2009,,0,0
514,"Coopertown town, Tennessee",2010,,0,0
515,"Coopertown town, Tennessee",2011,,0,3
516,"Coopertown town, Tennessee",2012,,0,10
517,"Coopertown town, Tennessee",2013,,0,10
518,"Coopertown town, Tennessee",2014,,0,7
519,"Coopertown town, Tennessee",2015,,0,14
520,"Coopertown town, Tennessee",2016,,0,21
521,"Coopertown town, Tennessee",2017,,0,24
522,"Coopertown town, Tennessee",2018,,0,22
523,"Coopertown town, Tennessee",2019,,0,28
524,"Coopertown town, Tennessee",2020,,0,47
525,"Coopertown town, Tennessee",2021,,0,34
526,"Coopertown town, Tennessee",2022,0,,20
527,"Coopertown town, Tennessee",2023,0,,23
528,"Cross Plains city, Tennessee",1980,,0,0
529,"Cross Plains city, Tennessee",1981,,0,0
530,"Cross Plains city, Tennessee",1982,,0,0
531,"Cross Plains city, Tennessee",1983,,0,0
532,"Cross Plains city, Tennessee",1984,,0,0
533,"Cross Plains city, Tennessee",1985,,0,0
534,"Cross Plains city, Tennessee",1986,,0,0
535,"Cross Plains city, Tennessee",1987,,0,0
536,"Cross Plains city, Tennessee",1988,,0,0
537,"Cross Plains city, Tennessee",1989,,0,0
538,"Cross Plains city, Tennessee",1990,,0,5
539,"Cross Plains city, Tennessee",1991,,0,10
540,"Cross Plains city, Tennessee",1992,,0,11
541,"Cross Plains city, Tennessee",1993,,0,19
542,"Cross Plains city, Tennessee",1994,,0,5
543,"Cross Plains city, Tennessee",1995,,0,9
544,"Cross Plains city, Tennessee",1996,,0,3
545,"Cross Plains city, Tennessee",1997,,0,3
546,"Cross Plains city, Tennessee",1998,,0,3
547,"Cross Plains city, Tennessee",1999,,0,5
548,"Cross Plains city, Tennessee",2000,,0,2
549,"Cross Plains city, Tennessee",2001,,0,12
550,"Cross Plains city, Tennessee",2002,,0,23
551,"Cross Plains city, Tennessee",2003,,0,20
552,"Cross Plains city, Tennessee",2004,,0,9
553,"Cross Plains city, Tennessee",2005,,0,19
554,"Cross Plains city, Tennessee",2006,,0,21
555,"Cross Plains city, Tennessee",2007,,0,6
556,"Cross Plains city, Tennessee",2008,,0,5
557,"Cross Plains city, Tennessee",2009,,0,0
558,"Cross Plains city, Tennessee",2010,,0,2
559,"Cross Plains city, Tennessee",2011,,0,3
560,"Cross Plains city, Tennessee",2012,,0,0
561,"Cross Plains city, Tennessee",2013,,0,0
562,"Cross Plains city, Tennessee",2014,,0,1
563,"Cross Plains city, Tennessee",2015,,0,6
564,"Cross Plains city, Tennessee",2016,,0,19
565,"Cross Plains city, Tennessee",2017,,0,10
566,"Cross Plains city, Tennessee",2018,,0,8
567,"Cross Plains city, Tennessee",2019,,0,9
568,"Cross Plains city, Tennessee",2020,,0,22
569,"Cross Plains city, Tennessee",2021,,0,12
570,"Cross Plains city, Tennessee",2022,0,,19
571,"Cross Plains city, Tennessee",2023,0,,0
572,"Cumberland City town, Tennessee",2022,0,,1
573,"Cumberland City town, Tennessee",2023,0,,2
574,"Davidson County, Tennessee",1980,,827,1089
575,"Davidson County, Tennessee",1981,,849,500
576,"Davidson County, Tennessee",1982,,1659,643
577,"Davidson County, Tennessee",1983,,5788,1297
578,"Davidson County, Tennessee",1984,,11472,1308
579,"Davidson County, Tennessee",1985,,9094,1486
580,"Davidson County, Tennessee",1986,,5876,2446
581,"Davidson County, Tennessee",1987,,1186,2521
