,NAME,Year,Units in All Multi-Family Structures,Units in Multi-Family Structures,Units in Single-Family Structures
1717,"Murfreesboro city, Tennessee",2017,,1127,1200
1718,"Murfreesboro city, Tennessee",2018,,1251,1499
1719,"Murfreesboro city, Tennessee",2019,,837,1317
1720,"Murfreesboro city, Tennessee",2020,,58,1704
1721,"Murfreesboro city, Tennessee",2021,,312,2064
1722,"Murfreesboro city, Tennessee",2022,54,,1142
1723,"Murfreesboro city, Tennessee",2023,306,,1014
1724,Nashville-Davidson metropolitan government (balance),1980,,827,1065
1725,Nashville-Davidson metropolitan government (balance),1981,,849,484
1726,Nashville-Davidson metropolitan government (balance),1982,,1659,625
1727,Nashville-Davidson metropolitan government (balance),1983,,5446,1252
1728,Nashville-Davidson metropolitan government (balance),1984,,11190,1144
1729,Nashville-Davidson metropolitan government (balance),1985,,8758,1337
1730,Nashville-Davidson metropolitan government (balance),1986,,5870,2257
1731,Nashville-Davidson metropolitan government (balance),1987,,1182,2325
1732,Nashville-Davidson metropolitan government (balance),1988,,1894,1878
1733,Nashville-Davidson metropolitan government (balance),1989,,445,1418
1734,Nashville-Davidson metropolitan government (balance),1990,,399,1198
1735,Nashville-Davidson metropolitan government (balance),1991,,209,1270
1736,Nashville-Davidson metropolitan government (balance),1992,,169,1745
1737,Nashville-Davidson metropolitan government (balance),1993,,333,1978
1738,Nashville-Davidson metropolitan government (balance),1994,,920,1908
1739,Nashville-Davidson metropolitan government (balance),1995,,921,1819
1740,Nashville-Davidson metropolitan government (balance),1996,,2457,2036
1741,Nashville-Davidson metropolitan government (balance),1997,,1962,2059
1742,Nashville-Davidson metropolitan government (balance),1998,,874,2309
1743,Nashville-Davidson metropolitan government (balance),1999,,1271,2435
1744,Nashville-Davidson metropolitan government (balance),2000,,711,2294
1745,Nashville-Davidson metropolitan government (balance),2001,,547,2869
1746,Nashville-Davidson metropolitan government (balance),2002,,588,2757
1747,Nashville-Davidson metropolitan government (balance),2003,,799,3080
1748,Nashville-Davidson metropolitan government (balance),2004,,1178,3494
1749,Nashville-Davidson metropolitan government (balance),2005,,1201,3681
1750,Nashville-Davidson metropolitan government (balance),2006,,1039,3959
1751,Nashville-Davidson metropolitan government (balance),2007,,2114,3070
1752,Nashville-Davidson metropolitan government (balance),2008,,814,1483
1753,Nashville-Davidson metropolitan government (balance),2009,,533,1068
1754,Nashville-Davidson metropolitan government (balance),2010,,567,1001
1755,Nashville-Davidson metropolitan government (balance),2011,,854,1078
1756,Nashville-Davidson metropolitan government (balance),2012,,1529,1305
1757,Nashville-Davidson metropolitan government (balance),2013,,2142,1824
1758,Nashville-Davidson metropolitan government (balance),2014,,3829,2538
1759,Nashville-Davidson metropolitan government (balance),2015,,4365,3738
1760,Nashville-Davidson metropolitan government (balance),2016,,5751,3712
1761,Nashville-Davidson metropolitan government (balance),2017,,2423,3827
1762,Nashville-Davidson metropolitan government (balance),2018,,3268,3560
1763,Nashville-Davidson metropolitan government (balance),2019,,5935,3830
1764,Nashville-Davidson metropolitan government (balance),2020,,9616,3533
1765,Nashville-Davidson metropolitan government (balance),2021,,12205,3932
1766,Nashville-Davidson metropolitan government (balance),2022,10818,,3977
1767,Nashville-Davidson metropolitan government (balance),2023,8052,,3106
1768,"New Johnsonville city, Tennessee",2022,0,,0
1769,"New Johnsonville city, Tennessee",2023,0,,3
1770,"Nolensville town, Tennessee",1980,,0,0
1771,"Nolensville town, Tennessee",1981,,0,0
1772,"Nolensville town, Tennessee",1982,,0,0
1773,"Nolensville town, Tennessee",1983,,0,0
1774,"Nolensville town, Tennessee",1984,,0,0
1775,"Nolensville town, Tennessee",1985,,0,0
1776,"Nolensville town, Tennessee",1986,,0,0
1777,"Nolensville town, Tennessee",1987,,0,0
1778,"Nolensville town, Tennessee",1988,,0,0
1779,"Nolensville town, Tennessee",1989,,0,0
1780,"Nolensville town, Tennessee",1990,,0,0
1781,"Nolensville town, Tennessee",1991,,0,0
1782,"Nolensville town, Tennessee",1992,,0,0
1783,"Nolensville town, Tennessee",1993,,0,0
1784,"Nolensville town, Tennessee",1994,,0,0
1785,"Nolensville town, Tennessee",1995,,0,0
1786,"Nolensville town, Tennessee",1996,,0,0
1787,"Nolensville town, Tennessee",1997,,0,0
1788,"Nolensville town, Tennessee",1998,,0,0
1789,"Nolensville town, Tennessee",1999,,0,0
1790,"Nolensville town, Tennessee",2000,,0,0
1791,"Nolensville town, Tennessee",2001,,0,0
1792,"Nolensville town, Tennessee",2002,,0,0
1793,"Nolensville town, Tennessee",2003,,0,0
1794,"Nolensville town, Tennessee",2004,,0,0
1795,"Nolensville town, Tennessee",2005,,0,0
1796,"Nolensville town, Tennessee",2006,,0,0
1797,"Nolensville town, Tennessee",2007,,0,0
1798,"Nolensville town, Tennessee",2008,,0,0
1799,"Nolensville town, Tennessee",2009,,0,0
1800,"Nolensville town, Tennessee",2010,,0,0
1801,"Nolensville town, Tennessee",2011,,0,0
1802,"Nolensville town, Tennessee",2012,,0,0
1803,"Nolensville town, Tennessee",2013,,0,51
1804,"Nolensville town, Tennessee",2014,,0,154
1805,"Nolensville town, Tennessee",2015,,0,185
1806,"Nolensville town, Tennessee",2016,,0,204
1807,"Nolensville town, Tennessee",2017,,0,313
1808,"Nolensville town, Tennessee",2018,,0,353
1809,"Nolensville town, Tennessee",2019,,0,360
1810,"Nolensville town, Tennessee",2020,,0,454
1811,"Nolensville town, Tennessee",2021,,0,521
1812,"Nolensville town, Tennessee",2022,0,,452
1813,"Nolensville town, Tennessee",2023,11,,110
1814,"Oak Hill city, Tennessee",1980,,0,7
1815,"Oak Hill city, Tennessee",1981,,0,2
1816,"Oak Hill city, Tennessee",1982,,0,2
1817,"Oak Hill city, Tennessee",1983,,0,6
1818,"Oak Hill city, Tennessee",1984,,0,6
1819,"Oak Hill city, Tennessee",1985,,0,7
1820,"Oak Hill city, Tennessee",1986,,0,17
1821,"Oak Hill city, Tennessee",1987,,0,10
1822,"Oak Hill city, Tennessee",1988,,0,20
1823,"Oak Hill city, Tennessee",1989,,0,12
1824,"Oak Hill city, Tennessee",1990,,0,7
1825,"Oak Hill city, Tennessee",1991,,0,16
1826,"Oak Hill city, Tennessee",1992,,0,9
1827,"Oak Hill city, Tennessee",1993,,0,14
1828,"Oak Hill city, Tennessee",1994,,0,12
1829,"Oak Hill city, Tennessee",1995,,0,8
1830,"Oak Hill city, Tennessee",1996,,0,10
1831,"Oak Hill city, Tennessee",1997,,0,7
1832,"Oak Hill city, Tennessee",1998,,0,7
1833,"Oak Hill city, Tennessee",1999,,0,4
1834,"Oak Hill city, Tennessee",2000,,0,3
1835,"Oak Hill city, Tennessee",2001,,0,3
1836,"Oak Hill city, Tennessee",2002,,0,11
1837,"Oak Hill city, Tennessee",2003,,0,11
1838,"Oak Hill city, Tennessee",2004,,0,8
1839,"Oak Hill city, Tennessee",2005,,0,6
1840,"Oak Hill city, Tennessee",2006,,0,19
1841,"Oak Hill city, Tennessee",2007,,0,16
1842,"Oak Hill city, Tennessee",2008,,0,6
1843,"Oak Hill city, Tennessee",2009,,0,3
1844,"Oak Hill city, Tennessee",2010,,0,4
1845,"Oak Hill city, Tennessee",2011,,0,3
1846,"Oak Hill city, Tennessee",2012,,0,3
1847,"Oak Hill city, Tennessee",2013,,0,6
1848,"Oak Hill city, Tennessee",2014,,0,11
1849,"Oak Hill city, Tennessee",2015,,0,28
1850,"Oak Hill city, Tennessee",2016,,0,15
1851,"Oak Hill city, Tennessee",2017,,0,22
1852,"Oak Hill city, Tennessee",2018,,0,23
1853,"Oak Hill city, Tennessee",2019,,0,28
1854,"Oak Hill city, Tennessee",2020,,0,28
1855,"Oak Hill city, Tennessee",2021,,0,29
1856,"Oak Hill city, Tennessee",2022,0,,28
1857,"Oak Hill city, Tennessee",2023,0,,25
1858,"Pegram town, Tennessee",1980,,0,0
1859,"Pegram town, Tennessee",1981,,0,0
1860,"Pegram town, Tennessee",1982,,0,0
1861,"Pegram town, Tennessee",1983,,0,0
1862,"Pegram town, Tennessee",1984,,0,0
1863,"Pegram town, Tennessee",1985,,0,0
1864,"Pegram town, Tennessee",1986,,0,0
1865,"Pegram town, Tennessee",1987,,0,0
1866,"Pegram town, Tennessee",1988,,0,0
1867,"Pegram town, Tennessee",1989,,0,0
1868,"Pegram town, Tennessee",1990,,0,15
1869,"Pegram town, Tennessee",1991,,0,11
1870,"Pegram town, Tennessee",1992,,0,18
1871,"Pegram town, Tennessee",1993,,0,41
1872,"Pegram town, Tennessee",1994,,0,36
1873,"Pegram town, Tennessee",1995,,0,45
1874,"Pegram town, Tennessee",1996,,0,48
1875,"Pegram town, Tennessee",1997,,10,31
1876,"Pegram town, Tennessee",1998,,0,20
1877,"Pegram town, Tennessee",1999,,0,42
1878,"Pegram town, Tennessee",2000,,0,12
1879,"Pegram town, Tennessee",2001,,0,9
1880,"Pegram town, Tennessee",2002,,0,7
1881,"Pegram town, Tennessee",2003,,0,5
1882,"Pegram town, Tennessee",2004,,0,4
1883,"Pegram town, Tennessee",2005,,0,4
1884,"Pegram town, Tennessee",2006,,0,2
1885,"Pegram town, Tennessee",2007,,0,3
1886,"Pegram town, Tennessee",2008,,0,1
1887,"Pegram town, Tennessee",2009,,0,3
1888,"Pegram town, Tennessee",2010,,0,0
1889,"Pegram town, Tennessee",2011,,0,1
1890,"Pegram town, Tennessee",2012,,0,3
1891,"Pegram town, Tennessee",2013,,0,1
1892,"Pegram town, Tennessee",2014,,0,3
1893,"Pegram town, Tennessee",2015,,0,5
1894,"Pegram town, Tennessee",2016,,0,3
1895,"Pegram town, Tennessee",2017,,0,4
1896,"Pegram town, Tennessee",2018,,0,7
1897,"Pegram town, Tennessee",2019,,0,2
1898,"Pegram town, Tennessee",2020,,0,5
1899,"Pegram town, Tennessee",2021,,0,5
1900,"Pegram town, Tennessee",2022,0,,1
1901,"Pegram town, Tennessee",2023,0,,7
1902,"Pleasant View city, Tennessee",1980,,0,0
1903,"Pleasant View city, Tennessee",1981,,0,0
1904,"Pleasant View city, Tennessee",1982,,0,0
1905,"Pleasant View city, Tennessee",1983,,0,0
1906,"Pleasant View city, Tennessee",1984,,0,0
1907,"Pleasant View city, Tennessee",1985,,0,0
1908,"Pleasant View city, Tennessee",1986,,0,0
1909,"Pleasant View city, Tennessee",1987,,0,0
1910,"Pleasant View city, Tennessee",1988,,0,0
1911,"Pleasant View city, Tennessee",1989,,0,0
1912,"Pleasant View city, Tennessee",1990,,0,0
1913,"Pleasant View city, Tennessee",1991,,0,0
1914,"Pleasant View city, Tennessee",1992,,0,0
1915,"Pleasant View city, Tennessee",1993,,0,0
1916,"Pleasant View city, Tennessee",1994,,0,0
1917,"Pleasant View city, Tennessee",1995,,0,0
1918,"Pleasant View city, Tennessee",1996,,0,0
1919,"Pleasant View city, Tennessee",1997,,0,0
1920,"Pleasant View city, Tennessee",1998,,0,0
1921,"Pleasant View city, Tennessee",1999,,0,0
1922,"Pleasant View city, Tennessee",2000,,6,27
1923,"Pleasant View city, Tennessee",2001,,0,0
1924,"Pleasant View city, Tennessee",2002,,0,37
1925,"Pleasant View city, Tennessee",2003,,20,51
1926,"Pleasant View city, Tennessee",2004,,2,61
1927,"Pleasant View city, Tennessee",2005,,0,102
1928,"Pleasant View city, Tennessee",2006,,0,111
1929,"Pleasant View city, Tennessee",2007,,0,69
1930,"Pleasant View city, Tennessee",2008,,0,40
1931,"Pleasant View city, Tennessee",2009,,0,6
1932,"Pleasant View city, Tennessee",2010,,0,8
1933,"Pleasant View city, Tennessee",2011,,7,5
1934,"Pleasant View city, Tennessee",2012,,0,1
1935,"Pleasant View city, Tennessee",2013,,0,10
1936,"Pleasant View city, Tennessee",2014,,0,27
1937,"Pleasant View city, Tennessee",2015,,0,25
1938,"Pleasant View city, Tennessee",2016,,0,30
1939,"Pleasant View city, Tennessee",2017,,0,107
1940,"Pleasant View city, Tennessee",2018,,0,83
1941,"Pleasant View city, Tennessee",2019,,0,114
1942,"Pleasant View city, Tennessee",2020,,0,110
1943,"Pleasant View city, Tennessee",2021,,0,104
1944,"Pleasant View city, Tennessee",2022,0,,97
1945,"Pleasant View city, Tennessee",2023,14,,63
1946,"Portland city, Tennessee",1980,,0,24
1947,"Portland city, Tennessee",1981,,0,26
1948,"Portland city, Tennessee",1982,,3,30
1949,"Portland city, Tennessee",1983,,40,44
1950,"Portland city, Tennessee",1984,,18,46
1951,"Portland city, Tennessee",1985,,55,44
1952,"Portland city, Tennessee",1986,,36,46
1953,"Portland city, Tennessee",1987,,35,44
1954,"Portland city, Tennessee",1988,,45,39
1955,"Portland city, Tennessee",1989,,37,39
1956,"Portland city, Tennessee",1990,,48,45
1957,"Portland city, Tennessee",1991,,4,34
1958,"Portland city, Tennessee",1992,,6,48
1959,"Portland city, Tennessee",1993,,0,70
1960,"Portland city, Tennessee",1994,,23,61
1961,"Portland city, Tennessee",1995,,20,86
1962,"Portland city, Tennessee",1996,,8,91
1963,"Portland city, Tennessee",1997,,12,202
1964,"Portland city, Tennessee",1998,,35,232
1965,"Portland city, Tennessee",1999,,24,360
1966,"Portland city, Tennessee",2000,,32,157
1967,"Portland city, Tennessee",2001,,11,166
1968,"Portland city, Tennessee",2002,,2,173
1969,"Portland city, Tennessee",2003,,0,139
1970,"Portland city, Tennessee",2004,,0,136
1971,"Portland city, Tennessee",2005,,0,171
1972,"Portland city, Tennessee",2006,,2,140
1973,"Portland city, Tennessee",2007,,5,98
1974,"Portland city, Tennessee",2008,,0,69
1975,"Portland city, Tennessee",2009,,2,42
1976,"Portland city, Tennessee",2010,,0,25
1977,"Portland city, Tennessee",2011,,0,25
1978,"Portland city, Tennessee",2012,,0,27
1979,"Portland city, Tennessee",2013,,0,41
1980,"Portland city, Tennessee",2014,,0,41
1981,"Portland city, Tennessee",2015,,0,45
1982,"Portland city, Tennessee",2016,,0,63
1983,"Portland city, Tennessee",2017,,2,86
1984,"Portland city, Tennessee",2018,,0,95
1985,"Portland city, Tennessee",2019,,0,91
1986,"Portland city, Tennessee",2020,,54,40
1987,"Portland city, Tennessee",2021,,52,53
1988,"Portland city, Tennessee",2022,8,,45
1989,"Portland city, Tennessee",2023,18,,19
1990,"Ridgetop city, Tennessee",1980,,0,0
1991,"Ridgetop city, Tennessee",1981,,0,0
1992,"Ridgetop city, Tennessee",1982,,0,0
1993,"Ridgetop city, Tennessee",1983,,0,0
1994,"Ridgetop city, Tennessee",1984,,0,0
1995,"Ridgetop city, Tennessee",1985,,0,0
1996,"Ridgetop city, Tennessee",1986,,0,0
1997,"Ridgetop city, Tennessee",1987,,0,0
1998,"Ridgetop city, Tennessee",1988,,0,0
1999,"Ridgetop city, Tennessee",1989,,0,0
2000,"Ridgetop city, Tennessee",1990,,0,2
2001,"Ridgetop city, Tennessee",1991,,0,1
2002,"Ridgetop city, Tennessee",1992,,0,2
2003,"Ridgetop city, Tennessee",1993,,0,2
2004,"Ridgetop city, Tennessee",1994,,0,1
2005,"Ridgetop city, Tennessee",1995,,0,1
2006,"Ridgetop city, Tennessee",1996,,0,2
2007,"Ridgetop city, Tennessee",1997,,0,3
2008,"Ridgetop city, Tennessee",1998,,0,4
2009,"Ridgetop city, Tennessee",1999,,0,6
2010,"Ridgetop city, Tennessee",2000,,0,0
2011,"Ridgetop city, Tennessee",2001,,0,7
2012,"Ridgetop city, Tennessee",2002,,0,10
2013,"Ridgetop city, Tennessee",2003,,0,6
2014,"Ridgetop city, Tennessee",2004,,0,7
2015,"Ridgetop city, Tennessee",2005,,0,2
2016,"Ridgetop city, Tennessee",2006,,0,3
2017,"Ridgetop city, Tennessee",2007,,0,11
2018,"Ridgetop city, Tennessee",2008,,0,5
2019,"Ridgetop city, Tennessee",2009,,0,3
2020,"Ridgetop city, Tennessee",2010,,0,11
2021,"Ridgetop city, Tennessee",2011,,0,4
2022,"Ridgetop city, Tennessee",2012,,0,1
2023,"Ridgetop city, Tennessee",2013,,0,14
2024,"Ridgetop city, Tennessee",2014,,0,26
2025,"Ridgetop city, Tennessee",2015,,0,20
2026,"Ridgetop city, Tennessee",2016,,0,13
2027,"Ridgetop city, Tennessee",2017,,0,9
2028,"Ridgetop city, Tennessee",2018,,0,20
2029,"Ridgetop city, Tennessee",2019,,0,5
2030,"Ridgetop city, Tennessee",2020,,0,1
2031,"Ridgetop city, Tennessee",2021,,0,7
2032,"Ridgetop city, Tennessee",2022,0,,20
2033,"Ridgetop city, Tennessee",2023,0,,2
2034,"Robertson County, Tennessee",1980,,0,114
2035,"Robertson County, Tennessee",1981,,0,83
2036,"Robertson County, Tennessee",1982,,0,63
2037,"Robertson County, Tennessee",1983,,100,154
2038,"Robertson County, Tennessee",1984,,159,136
2039,"Robertson County, Tennessee",1985,,44,223
2040,"Robertson County, Tennessee",1986,,58,317
2041,"Robertson County, Tennessee",1987,,12,454
2042,"Robertson County, Tennessee",1988,,60,366
2043,"Robertson County, Tennessee",1989,,4,298
2044,"Robertson County, Tennessee",1990,,2,334
2045,"Robertson County, Tennessee",1991,,0,292
2046,"Robertson County, Tennessee",1992,,0,302
2047,"Robertson County, Tennessee",1993,,0,557
2048,"Robertson County, Tennessee",1994,,18,579
2049,"Robertson County, Tennessee",1995,,161,654
2050,"Robertson County, Tennessee",1996,,18,929
2051,"Robertson County, Tennessee",1997,,69,535
2052,"Robertson County, Tennessee",1998,,29,733
2053,"Robertson County, Tennessee",1999,,24,783
2054,"Robertson County, Tennessee",2000,,14,596
2055,"Robertson County, Tennessee",2001,,25,652
2056,"Robertson County, Tennessee",2002,,14,641
2057,"Robertson County, Tennessee",2003,,188,429
2058,"Robertson County, Tennessee",2004,,8,525
2059,"Robertson County, Tennessee",2005,,102,566
2060,"Robertson County, Tennessee",2006,,5,685
2061,"Robertson County, Tennessee",2007,,0,526
2062,"Robertson County, Tennessee",2008,,0,269
2063,"Robertson County, Tennessee",2009,,0,178
2064,"Robertson County, Tennessee",2010,,0,159
2065,"Robertson County, Tennessee",2011,,0,142
2066,"Robertson County, Tennessee",2012,,2,131
2067,"Robertson County, Tennessee",2013,,48,159
2068,"Robertson County, Tennessee",2014,,10,233
2069,"Robertson County, Tennessee",2015,,9,268
2070,"Robertson County, Tennessee",2016,,0,370
2071,"Robertson County, Tennessee",2017,,274,444
2072,"Robertson County, Tennessee",2018,,4,383
2073,"Robertson County, Tennessee",2019,,0,520
2074,"Robertson County, Tennessee",2020,,0,726
2075,"Robertson County, Tennessee",2021,,32,905
2076,"Robertson County, Tennessee",2022,2,,829
2077,"Robertson County, Tennessee",2023,218,,721
2078,Robertson Unincorporated,1980,,0,71
2079,Robertson Unincorporated,1981,,0,59
2080,Robertson Unincorporated,1982,,0,51
2081,Robertson Unincorporated,1983,,0,107
2082,Robertson Unincorporated,1984,,8,94
2083,Robertson Unincorporated,1985,,0,165
2084,Robertson Unincorporated,1986,,0,206
2085,Robertson Unincorporated,1987,,0,274
2086,Robertson Unincorporated,1988,,0,259
2087,Robertson Unincorporated,1989,,0,223
2088,Robertson Unincorporated,1990,,0,241
2089,Robertson Unincorporated,1991,,0,206
2090,Robertson Unincorporated,1992,,0,207
2091,Robertson Unincorporated,1993,,0,228
2092,Robertson Unincorporated,1994,,0,276
2093,Robertson Unincorporated,1995,,0,292
2094,Robertson Unincorporated,1996,,3,424
2095,Robertson Unincorporated,1997,,2,183
2096,Robertson Unincorporated,1998,,0,325
2097,Robertson Unincorporated,1999,,2,278
2098,Robertson Unincorporated,2000,,0,233
2099,Robertson Unincorporated,2001,,0,247
2100,Robertson Unincorporated,2002,,0,224
2101,Robertson Unincorporated,2003,,2,187
2102,Robertson Unincorporated,2004,,0,223
2103,Robertson Unincorporated,2005,,0,198
2104,Robertson Unincorporated,2006,,0,216
2105,Robertson Unincorporated,2007,,0,195
2106,Robertson Unincorporated,2008,,0,124
2107,Robertson Unincorporated,2009,,0,71
2108,Robertson Unincorporated,2010,,0,61
2109,Robertson Unincorporated,2011,,0,59
2110,Robertson Unincorporated,2012,,2,58
2111,Robertson Unincorporated,2013,,0,75
2112,Robertson Unincorporated,2014,,0,106
2113,Robertson Unincorporated,2015,,0,130
2114,Robertson Unincorporated,2016,,0,179
2115,Robertson Unincorporated,2017,,0,189
2116,Robertson Unincorporated,2018,,0,193
2117,Robertson Unincorporated,2019,,0,215
2118,Robertson Unincorporated,2020,,0,227
2119,Robertson Unincorporated,2021,,10,307
2120,Robertson Unincorporated,2022,2,,238
2121,Robertson Unincorporated,2023,0,,142
2122,"Rutherford County, Tennessee",1980,,283,736
2123,"Rutherford County, Tennessee",1981,,444,429
2124,"Rutherford County, Tennessee",1982,,541,358
2125,"Rutherford County, Tennessee",1983,,775,688
2126,"Rutherford County, Tennessee",1984,,1003,853
2127,"Rutherford County, Tennessee",1985,,414,1123
2128,"Rutherford County, Tennessee",1986,,595,1847
2129,"Rutherford County, Tennessee",1987,,437,2062
2130,"Rutherford County, Tennessee",1988,,214,1663
2131,"Rutherford County, Tennessee",1989,,193,1556
2132,"Rutherford County, Tennessee",1990,,84,1353
2133,"Rutherford County, Tennessee",1991,,93,1449
2134,"Rutherford County, Tennessee",1992,,6,1670
2135,"Rutherford County, Tennessee",1993,,23,1937
2136,"Rutherford County, Tennessee",1994,,189,2372
2137,"Rutherford County, Tennessee",1995,,822,2428
2138,"Rutherford County, Tennessee",1996,,1497,2630
2139,"Rutherford County, Tennessee",1997,,266,2194
2140,"Rutherford County, Tennessee",1998,,638,2386
2141,"Rutherford County, Tennessee",1999,,665,2557
2142,"Rutherford County, Tennessee",2000,,1030,2456
2143,"Rutherford County, Tennessee",2001,,532,2895
2144,"Rutherford County, Tennessee",2002,,180,2938
2145,"Rutherford County, Tennessee",2003,,220,3330
2146,"Rutherford County, Tennessee",2004,,1691,3899
2147,"Rutherford County, Tennessee",2005,,1005,4006
2148,"Rutherford County, Tennessee",2006,,345,3733
2149,"Rutherford County, Tennessee",2007,,261,2817
2150,"Rutherford County, Tennessee",2008,,1235,1331
2151,"Rutherford County, Tennessee",2009,,98,995
2152,"Rutherford County, Tennessee",2010,,254,869
2153,"Rutherford County, Tennessee",2011,,8,858
2154,"Rutherford County, Tennessee",2012,,684,1275
2155,"Rutherford County, Tennessee",2013,,1459,1598
2156,"Rutherford County, Tennessee",2014,,984,1760
2157,"Rutherford County, Tennessee",2015,,1551,2006
2158,"Rutherford County, Tennessee",2016,,430,2396
2159,"Rutherford County, Tennessee",2017,,1263,2306
2160,"Rutherford County, Tennessee",2018,,1386,2585
2161,"Rutherford County, Tennessee",2019,,1144,2744
2162,"Rutherford County, Tennessee",2020,,217,3303
2163,"Rutherford County, Tennessee",2021,,475,3488
2164,"Rutherford County, Tennessee",2022,189,,2267
2165,"Rutherford County, Tennessee",2023,631,,2909
2166,Rutherford Unincorporated,1980,,47,546
2167,Rutherford Unincorporated,1981,,38,324
2168,Rutherford Unincorporated,1982,,44,269
2169,Rutherford Unincorporated,1983,,62,463
2170,Rutherford Unincorporated,1984,,56,524
2171,Rutherford Unincorporated,1985,,32,644
2172,Rutherford Unincorporated,1986,,26,903
2173,Rutherford Unincorporated,1987,,12,1155
2174,Rutherford Unincorporated,1988,,6,1032
2175,Rutherford Unincorporated,1989,,0,946
2176,Rutherford Unincorporated,1990,,0,709
2177,Rutherford Unincorporated,1991,,0,641
2178,Rutherford Unincorporated,1992,,0,714
2179,Rutherford Unincorporated,1993,,0,719
2180,Rutherford Unincorporated,1994,,0,771
2181,Rutherford Unincorporated,1995,,2,782
2182,Rutherford Unincorporated,1996,,2,1047
2183,Rutherford Unincorporated,1997,,0,992
2184,Rutherford Unincorporated,1998,,0,858
2185,Rutherford Unincorporated,1999,,0,779
2186,Rutherford Unincorporated,2000,,0,642
2187,Rutherford Unincorporated,2001,,2,618
2188,Rutherford Unincorporated,2002,,0,587
2189,Rutherford Unincorporated,2003,,0,566
2190,Rutherford Unincorporated,2004,,0,827
2191,Rutherford Unincorporated,2005,,0,1065
2192,Rutherford Unincorporated,2006,,0,894
2193,Rutherford Unincorporated,2007,,0,807
2194,Rutherford Unincorporated,2008,,0,385
2195,Rutherford Unincorporated,2009,,0,373
2196,Rutherford Unincorporated,2010,,0,321
2197,Rutherford Unincorporated,2011,,0,336
2198,Rutherford Unincorporated,2012,,0,513
2199,Rutherford Unincorporated,2013,,0,556
2200,Rutherford Unincorporated,2014,,0,633
2201,Rutherford Unincorporated,2015,,0,620
2202,Rutherford Unincorporated,2016,,0,698
2203,Rutherford Unincorporated,2017,,0,785
2204,Rutherford Unincorporated,2018,,0,683
2205,Rutherford Unincorporated,2019,,0,859
2206,Rutherford Unincorporated,2020,,0,884
2207,Rutherford Unincorporated,2021,,0,1018
2208,Rutherford Unincorporated,2022,0,,799
2209,Rutherford Unincorporated,2023,0,,884
2210,"Smyrna town, Tennessee",1980,,96,49
2211,"Smyrna town, Tennessee",1981,,94,9
2212,"Smyrna town, Tennessee",1982,,76,10
2213,"Smyrna town, Tennessee",1983,,445,44
2214,"Smyrna town, Tennessee",1984,,141,59
2215,"Smyrna town, Tennessee",1985,,217,102
2216,"Smyrna town, Tennessee",1986,,70,237
2217,"Smyrna town, Tennessee",1987,,20,202
2218,"Smyrna town, Tennessee",1988,,6,123
2219,"Smyrna town, Tennessee",1989,,0,95
2220,"Smyrna town, Tennessee",1990,,0,139
2221,"Smyrna town, Tennessee",1991,,88,208
2222,"Smyrna town, Tennessee",1992,,2,241
2223,"Smyrna town, Tennessee",1993,,0,376
2224,"Smyrna town, Tennessee",1994,,0,441
2225,"Smyrna town, Tennessee",1995,,298,417
2226,"Smyrna town, Tennessee",1996,,438,327
2227,"Smyrna town, Tennessee",1997,,20,219
2228,"Smyrna town, Tennessee",1998,,71,294
2229,"Smyrna town, Tennessee",1999,,128,314
2230,"Smyrna town, Tennessee",2000,,257,395
2231,"Smyrna town, Tennessee",2001,,20,456
2232,"Smyrna town, Tennessee",2002,,44,460
2233,"Smyrna town, Tennessee",2003,,49,494
2234,"Smyrna town, Tennessee",2004,,426,522
2235,"Smyrna town, Tennessee",2005,,0,547
2236,"Smyrna town, Tennessee",2006,,0,656
2237,"Smyrna town, Tennessee",2007,,24,475
2238,"Smyrna town, Tennessee",2008,,336,148
2239,"Smyrna town, Tennessee",2009,,0,151
2240,"Smyrna town, Tennessee",2010,,70,99
2241,"Smyrna town, Tennessee",2011,,0,97
2242,"Smyrna town, Tennessee",2012,,220,193
2243,"Smyrna town, Tennessee",2013,,664,197
2244,"Smyrna town, Tennessee",2014,,71,243
2245,"Smyrna town, Tennessee",2015,,330,238
2246,"Smyrna town, Tennessee",2016,,53,370
2247,"Smyrna town, Tennessee",2017,,134,243
2248,"Smyrna town, Tennessee",2018,,133,310
2249,"Smyrna town, Tennessee",2019,,307,469
2250,"Smyrna town, Tennessee",2020,,159,604
2251,"Smyrna town, Tennessee",2021,,163,290
2252,"Smyrna town, Tennessee",2022,135,,218
2253,"Smyrna town, Tennessee",2023,325,,814
2254,"Spring Hill city, Tennessee",1980,,0,18
2255,"Spring Hill city, Tennessee",1981,,0,11
2256,"Spring Hill city, Tennessee",1982,,0,4
2257,"Spring Hill city, Tennessee",1983,,0,5
2258,"Spring Hill city, Tennessee",1984,,0,2
2259,"Spring Hill city, Tennessee",1985,,36,6
2260,"Spring Hill city, Tennessee",1986,,0,1
2261,"Spring Hill city, Tennessee",1987,,8,0
2262,"Spring Hill city, Tennessee",1988,,0,0
2263,"Spring Hill city, Tennessee",1989,,2,56
2264,"Spring Hill city, Tennessee",1990,,184,49
2265,"Spring Hill city, Tennessee",1991,,12,48
2266,"Spring Hill city, Tennessee",1992,,0,75
2267,"Spring Hill city, Tennessee",1993,,0,195
2268,"Spring Hill city, Tennessee",1994,,0,201
2269,"Spring Hill city, Tennessee",1995,,8,296
